,formattedAddress,location,rating,businessStatus,userRatingCount,displayName,primaryTypeDisplayName,priceRange,websiteUri
503,"San Francisco Chuburná, 97206 Merida, Yucatan, Mexico","{'latitude': 21.0129531, 'longitude': -89.64067639999999}",3.0,OPERATIONAL,1.0,"{'text': 'Dulces delicias by Gaby', 'languageCode': 'en'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
504,"C. 21 110C-x 24, Antiguo Poblado De Chuburná De Hidalgo, Chuburná de Hidalgo, 97205 Mérida, Yuc., Mexico","{'latitude': 21.012102499999997, 'longitude': -89.63614849999999}",5.0,OPERATIONAL,5.0,"{'text': 'RECUERDOS DE CAFÉ', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
505,"C. 21, Hidalgo de Chuburná, 97200 Mérida, Yuc., Mexico","{'latitude': 21.0114608, 'longitude': -89.6275168}",5.0,OPERATIONAL,1.0,"{'text': 'La Fuente es Cafetería', 'languageCode': 'es'}","{'text': 'Cafeteria', 'languageCode': 'en-US'}",,
506,"C. 21 102a-local 17, Antiguo Poblado De Chuburná De Hidalgo, Chuburná de Hidalgo, 97205 Mérida, Yuc., Mexico","{'latitude': 21.011507899999998, 'longitude': -89.6324777}",4.4,OPERATIONAL,16.0,"{'text': 'LOGOS Papeleria y Frapperia', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
507,"Av. del Rogers Hall 151, Campestre, 97120 Mérida, Yuc., Mexico","{'latitude': 21.003746, 'longitude': -89.619863}",4.6,OPERATIONAL,175.0,"{'text': 'Artesanal Bakery Coffee Shop', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",
508,"Av Jose Diaz Bolio 121-LOCAL 1, Col. México, México, 97125 Mérida, Yuc., Mexico","{'latitude': 21.0029368, 'longitude': -89.6132439}",4.8,OPERATIONAL,146.0,"{'text': 'Cafetería Arista Barista Norte | Coffee Shop Artesanal en Mérida con café de especialidad', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",https://www.instagram.com/aristabarista_nte/
509,"C. 38, Buenavista, 97127 Mérida, Yuc., Mexico","{'latitude': 21.003138399999997, 'longitude': -89.6206046}",4.7,OPERATIONAL,138.0,"{'text': 'Cafeto Supremo', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",
510,"Av. Campestre C.5 276, local 10, Campestre, 97120 Mérida, Yuc., Mexico","{'latitude': 21.009900599999998, 'longitude': -89.6186465}",4.5,OPERATIONAL,63.0,"{'text': '101 Coffee & Tea Plaza San Juanistas', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '1'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",
511,"C. 13 Calle 129 131, México, 97125 Mérida, Yuc., Mexico","{'latitude': 21.0061343, 'longitude': -89.61398969999999}",5.0,OPERATIONAL,36.0,"{'text': 'AMADA MÍA BISTRO CAFÉ ÁRBOL', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '200'}, 'endPrice': {'currencyCode': 'MXN', 'units': '300'}}",
512,"9, Calle 7 y, Avenida Campestre No.262, Calle 7 sn, Campestre, 97120 Mérida, Yuc., Mexico","{'latitude': 21.00901, 'longitude': -89.6183805}",4.0,OPERATIONAL,511.0,"{'text': ""C'est Pantastic"", 'languageCode': 'en'}","{'text': 'Dessert Shop', 'languageCode': 'en-US'}",,
513,"avenida Shutan median, C. 17 local 10, entre 4, Monte Cristo, 97133 Mérida, Yuc., Mexico","{'latitude': 21.011070699999998, 'longitude': -89.60018149999999}",4.7,OPERATIONAL,218.0,"{'text': 'Cafecito Necesito - Cafetería, panadería, restaurante', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '200'}, 'endPrice': {'currencyCode': 'MXN', 'units': '300'}}",https://www.instagram.com/cafecitonecesitomid/
514,"Av Jose Diaz Bolio 75, México, 97128 Mérida, Yuc., Mexico","{'latitude': 21.001886499999998, 'longitude': -89.6073917}",4.4,OPERATIONAL,878.0,"{'text': 'Café Louvre', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",
515,"1H 192 14A Y 16, México Nte., 97125 Mérida, Yuc., Mexico","{'latitude': 21.0102781, 'longitude': -89.6067518}",5.0,OPERATIONAL,171.0,"{'text': 'Cafe Loco Coffee LAB', 'languageCode': 'ko'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",https://linktr.ee/cafelococoffee
516,"C. 23 68b, Col. México, México, 97125 Mérida, Yuc., Mexico","{'latitude': 21.000666300000002, 'longitude': -89.6070403}",4.8,OPERATIONAL,28.0,"{'text': 'Cafecito Necesito - Cafetería, Panadería, Restaurante', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '200'}, 'endPrice': {'currencyCode': 'MXN', 'units': '300'}}",
517,"Av Jose Diaz Bolio 185-Local 1, México Oriente, 97125 Mérida, Yuc., Mexico","{'latitude': 21.0011431, 'longitude': -89.60270589999999}",4.5,OPERATIONAL,77.0,"{'text': 'Café Dicha de Verte', 'languageCode': 'en'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",https://www.instagram.com/dicha.de.verte/
518,"C. 22 10, entre 1G y 1H, Residencial Montecristo, 97133 Mérida, Yuc., Mexico","{'latitude': 21.0111155, 'longitude': -89.60175300000002}",4.8,OPERATIONAL,123.0,"{'text': 'Time Vault', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",https://www.facebook.com/TimeVaultMID
519,"C. 1H 162, entre 14A, México Nte., 97128 Mérida, Yuc., Mexico","{'latitude': 21.0099986, 'longitude': -89.6053084}",4.4,OPERATIONAL,45.0,"{'text': 'TreCaffé Norte (col. México Norte)', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '200'}, 'endPrice': {'currencyCode': 'MXN', 'units': '300'}}",https://linktr.ee/Trecaffe
520,"C. 13 102, Col. México, México, 97125 Mérida, Yuc., Mexico","{'latitude': 21.0054619, 'longitude': -89.6094816}",4.9,OPERATIONAL,66.0,"{'text': 'The Fluff', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",
521,"Avenida Jose Díaz bolio Calle14 esquina, Col. México, México, 97125 Mérida, Yuc., Mexico","{'latitude': 21.0017328, 'longitude': -89.6081397}",5.0,OPERATIONAL,4.0,"{'text': 'A District galería café NFT', 'languageCode': 'en'}","{'text': 'Store', 'languageCode': 'en-US'}",,http://www.adistrict.mx/
522,"C. 28 354, entre 33 y 35, Emiliano Zapata Nte, 97129 Mérida, Yuc., Mexico","{'latitude': 21.0102367, 'longitude': -89.6108848}",5.0,OPERATIONAL,2.0,"{'text': 'Grip Café Mid', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}",,
523,"Calle 10 x 19 y 17, México, 97125 Mérida, Yuc., Mexico","{'latitude': 21.002477, 'longitude': -89.6059054}",4.8,OPERATIONAL,12.0,"{'text': 'PLURAL', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}",,
524,"Av Jose Diaz Bolio 78, Col. México, México, 97125 Mérida, Yuc., Mexico","{'latitude': 21.0016504, 'longitude': -89.60817689999999}",4.8,OPERATIONAL,1027.0,"{'text': 'Cucu Bistro Norte', 'languageCode': 'es'}","{'text': 'Restaurant', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '200'}, 'endPrice': {'currencyCode': 'MXN', 'units': '300'}}",https://linktr.ee/cucubistromid
525,"C. 3 90-Local 1, México Nte., 97129 Mérida, Yuc., Mexico","{'latitude': 21.0099654, 'longitude': -89.60969999999999}",5.0,OPERATIONAL,3.0,"{'text': 'T’aan Café', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
526,"C. 10 417A, Díaz Ordaz, 97130 Mérida, Yuc., Mexico","{'latitude': 21.0022304, 'longitude': -89.596723}",4.8,OPERATIONAL,58.0,"{'text': 'Sereno Café', 'languageCode': 'en'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",
527,"C. 23 Local, Calle 10 40-A y 40 B, Los Pinos, 97138 Mérida, Yuc., Mexico","{'latitude': 21.0036436, 'longitude': -89.5813303}",4.7,OPERATIONAL,1647.0,"{'text': 'La Poperia', 'languageCode': 'es'}","{'text': 'Dessert Restaurant', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",http://www.lapoperia.com/
